#$version=1
# 1 2017-06-05 first versioned file
Canton OH,17,40,51,4,81,16,37
Champaign IL,15,40,4,11,87,54,45
Cleveland OH,19,41,21,19,81,44,24
Elmira-Corning NY,18,42,6,20,76,52,17
Ft. Wayne IN,15,41,5,35,85,10,42
Hanover NH,15,43,42,30,72,9,16
Harrisburg PA,21,40,20,44,76,52,9
Jacksonville IL,14,39,45,52,90,30,29
Johnstown PA,19,40,19,47,78,53,45
Lancaster PA,15,40,15,45,76,27,49
Madison WI,15,43,3,1,89,29,15
Mt. Pleasant MI,14,43,34,24,84,46,21
Oxford OH,14,39,30,26,84,44,9
Parkersburg WV,15,39,20,50,81,33,56
Philadelphia PA,17,40,2,30,75,14,24
Pittsburgh PA,16,40,26,46,79,57,51
Salisbury MD,16,38,24,15,75,34,45
San Diego CA,15,32,41,48,116,56,10
Scranton PA,16,41,10,58,75,52,21
South Bend IN,16,41,36,20,86,12,44
Washington DC,14,38,57,17,77,0,17
Washington DC,20,38,57,49,77,6,18
Waterbury CT,20,41,31,2,73,1,0
Zanesville OH,18,39,55,42,81,59,6
