#$version=1
# 1 2017-06-05 first versioned file
Allegan MI,42,36,20.1,85,57,20.1
Belfast ME,44,26,42.3,69,4,56.1
Canandaigua NY,42,54,48.2,77,15,57.9
Douglas AZ,31,30,2.3,109,39,14.3
Ferndale WA,48,57,20.4,122,33,17.6
Grand Island NE,40,55,21.0,98,25,43.2
Kenai AK,60,43,26.0,151,20,15.0
Kingsville TX,27,26,30.1,97,53,1.0
Laurel MD,39,9,54.4,76,49,15.9
Livermore CA,37,43,29.7,121,45,15.8
Powder Springs GA,33,51,44.4,84,43,25.8
Santa Isabel PR,18,0,18.9,66,22,30.6
Vero Beach FL,27,36,22.1,80,38,5.2
Waipahu HI,21,22,33.6,157,59,44.1
